Airline name ,Travel Time,Number of Stoppage(s),Ticket price(Dollar),Departure Airport,Departure Time,1st Stoppage Waiting Time,1st Stoppage,2nd Stoppage Waiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
Emirates,23:20:00,1,1600.0,DAC,19:30:00,4h 20m,DXB,,,,,JFK,08:50:00,04-08
Emirates,32:35:00,1,1600.0,DAC,10:15:00,13h 45m,DXB,,,,,JFK,08:50:00,04-08
Emirates,41:10:00,1,1600.0,DAC,01:40:00,22h 20m,DXB,,,,,JFK,08:50:00,04-08
Emirates,42:40:00,1,1600.0,DAC,10:15:00,20h 40m,DXB,,,,,JFK,18:55:00,04-08
Emirates,45:5:00,1,1600.0,DAC,10:15:00,21h 45m,DXB,,,,,EWR,21:20:00,
American,27:40:00,1,1600.0,DAC,05:05:00,7h 55m,DOH,,,,,JFK,22:45:00,
Multiple,28:25:00,2,1603.0,DAC,01:40:00,3h 55m,DXB,3h 55m,FRA,,,JFK,20:05:00,04-08
Qatar,51:30:00,2,1610.0,DAC,05:30:00,23h 45m,DOH,6h 54m,BOS,,,JFK,23:00:00,04-08
Emirates,42:40:00,2,1619.0,DAC,10:15:00,4h 20m,DXB,17h 50m,BGY,,,JFK,18:55:00,04-08
Emirates,51:15:00,2,1619.0,DAC,01:40:00,12h 55m,DXB,17h 50m,BGY,,,JFK,18:55:00,04-08
Qatar,49:15:00,2,1625.0,DAC,05:30:00,23h 40m,DOH,2h 45m,ORD,,,EWR,20:45:00,04-08
Qatar,50:15:00,2,1625.0,DAC,05:30:00,23h 40m,DOH,3h 30m,ORD,,,LGA,21:45:00,04-08
Qatar,49:59:00,2,1640.0,DAC,05:30:00,23h 45m,DOH,3h 11m,ATL,,,JFK,21:29:00,04-08
Qatar,51:36:00,2,1640.0,DAC,05:30:00,23h 45m,DOH,4h 50m,ATL,,,JFK,23:06:00,04-09
Qatar,61:26:00,2,1652.0,DAC,05:30:00,23h 45m,DOH,14h 45m,ATL,,,JFK,08:56:00,
British,26:24:00,2,1670.0,DAC,03:35:00,2h 35m,DOH,3h 5m,LHR,,,JFK,19:59:00,04-08
Etihad,29:5:00,1,1677.0,DAC,20:55:00,9h 30m,AUH,,,,,JFK,16:00:00,04-08
